"ID","MonthlyIncome"
"1",871,5927.61961197935
"2",872,2199.53380334915
"3",873,14255.6317976201
"4",874,2179.27462286021
"5",875,2216.3229031468
"6",876,7066.00435876107
"7",877,6019.89519360407
"8",878,1973.58088558769
"9",879,2297.57278388023
"10",880,14982.924182643
"11",881,11166.1909126583
"12",882,2368.01485816849
"13",883,5978.00998958358
"14",884,5856.6892592296
"15",885,6457.15475231769
"16",886,5897.0914540523
"17",887,6201.17226664664
"18",888,6241.15846298492
"19",889,6195.54543818751
"20",890,2262.33381022065
"21",891,5986.31740519848
"22",892,9903.85632037704
"23",893,9764.17383177704
"24",894,5903.72675317233
"25",895,11176.6253571026
"26",896,9941.33845505621
"27",897,10220.0813920312
"28",898,13912.2926495467
"29",899,6018.5196659247
"30",900,2333.5344197362
"31",901,2306.69645991039
"32",902,6464.0231958028
"33",903,6707.88870989341
"34",904,2552.31243879579
"35",905,14746.2901285173
"36",906,5878.0558817913
"37",907,10643.112525674
"38",908,6009.20621110792
"39",909,2053.17650573441
"40",910,1992.26033207112
"41",911,18361.3711976353
"42",912,2311.33514655573
"43",913,2261.86295283729
"44",914,10099.089952645
"45",915,6138.80136065965
"46",916,5852.15993099703
"47",917,2082.88876263128
"48",918,5907.86052117753
"49",919,1946.03188993622
"50",920,2803.29168770699
"51",921,2121.95600450898
"52",922,2050.20643928529
"53",923,6329.92559430819
"54",924,6274.80194244507
"55",925,15349.3981748958
"56",926,2394.54662307737
"57",927,6085.33289084791
"58",928,10309.3583463926
"59",929,2036.50578473106
"60",930,2312.31659003706
"61",931,6273.77930454447
"62",932,9868.03301493777
"63",933,9768.92971545218
"64",934,2144.48651348165
"65",935,2004.48501150479
"66",936,2227.85892983625
"67",937,10502.9306010368
"68",938,10501.9831433673
"69",939,6787.61728726383
"70",940,2056.96663067719
"71",941,2818.93052409339
"72",942,10021.9897095207
"73",943,10785.5785218099
"74",944,5927.30950957406
"75",945,1984.59756609746
"76",946,5859.72917419676
"77",947,2052.03732445393
"78",948,2137.46040764234
"79",949,2250.663644543
"80",950,6114.20100380554
"81",951,2519.23610669671
"82",952,5981.94235243142
"83",953,6127.1050892671
"84",954,2190.68704845224
"85",955,6194.09980169027
"86",956,9934.30196221599
"87",957,11806.2230421813
"88",958,2425.87108979727
"89",959,10856.8912391024
"90",960,18635.6120362517
"91",961,2141.97648258495
"92",962,5975.09548748794
"93",963,6536.28305285963
"94",964,6252.9452814524
"95",965,1964.62926548626
"96",966,18035.6812043825
"97",967,2183.49410898732
"98",968,9857.69666192056
"99",969,15378.334845197
"100",970,2216.77792489131
"101",971,6007.31663499694
"102",972,6086.02919735428
"103",973,2225.44448346271
"104",974,2011.53251103084
"105",975,5856.0752085115
"106",976,2108.6463075639
"107",977,6978.21425315582
"108",978,2177.57227715197
"109",979,10015.7246458126
"110",980,18484.5789217513
"111",981,2154.75663120433
"112",982,10398.0178792726
"113",983,2381.80218627432
"114",984,2143.55603173558
"115",985,6058.82601592442
"116",986,2390.87454118412
"117",987,2086.64725777629
"118",988,6002.55522723892
"119",989,10272.7857864074
"120",990,2144.67466534906
"121",991,6483.86001521962
"122",992,2132.07721995915
"123",993,6181.88550925751
"124",994,5979.31014466202
"125",995,5918.22511710381
"126",996,6311.21508010658
"127",997,2118.89580217464
"128",998,14598.6804355256
"129",999,9982.898978242
"130",1000,1976.27247942929
"131",1001,6714.86731633109
"132",1002,5977.55812839295
"133",1003,6040.1218643105
"134",1004,6983.53797932187
"135",1005,2395.47839599788
"136",1006,6183.25308139498
"137",1007,2041.50390859774
"138",1008,6306.11403585975
"139",1009,18465.0185546727
"140",1010,6372.00024137053
"141",1011,10543.4568421116
"142",1012,6502.87073146025
"143",1013,6127.64970265686
"144",1014,6285.30848201158
"145",1015,6081.44909224133
"146",1016,2378.84026022199
"147",1017,2410.82064356878
"148",1018,9814.71311165377
"149",1019,9975.90781364422
"150",1020,1963.36493163409
"151",1021,6054.35648495375
"152",1022,6146.01664924098
"153",1023,6170.44008724833
"154",1024,10501.1904892779
"155",1025,14414.1738535841
"156",1026,18161.1959273187
"157",1027,6241.12145999415
"158",1028,5891.15721494673
"159",1029,5846.59621124356
"160",1030,10534.1688808398
"161",1031,5838.0806166939
"162",1032,2427.57465123503
"163",1033,9790.95545667459
"164",1034,1993.78137513429
"165",1035,6157.48114288784
"166",1036,1925.66681336814
"167",1037,5869.1709081741
"168",1038,10300.2779604959
"169",1039,9959.54339696775
"170",1040,6143.67908546272
"171",1041,2236.73521881668
"172",1042,2348.91046826406
"173",1043,9840.30945645361
"174",1044,6442.40465901811
"175",1045,2219.36255781414
"176",1046,2037.42967755461
"177",1047,6058.2727178979
"178",1048,9889.65340497649
"179",1049,2201.80660786222
"180",1050,6074.91294938805
"181",1051,10750.7843101435
"182",1052,2303.08554189843
"183",1053,6159.89989761474
"184",1054,2344.99294414546
"185",1055,2299.57458469302
"186",1056,2347.4604140035
"187",1057,6073.81544916149
"188",1058,14187.4922704237
"189",1059,6718.45497127688
"190",1060,2190.20820156198
"191",1061,6283.7121078274
"192",1062,6017.04810856746
"193",1063,6378.43384106837
"194",1064,2013.12358746695
"195",1065,6360.60022304873
"196",1066,2239.5169485435
"197",1067,3226.51984270882
"198",1068,18326.9500537048
"199",1069,5893.59990422933
"200",1070,2202.03385843465
"201",1071,2325.23506907315
"202",1072,6242.95603383125
"203",1073,2087.7041832685
"204",1074,6197.79883531814
"205",1075,6079.16840763131
"206",1076,14227.6787419594
"207",1077,18280.8472329367
"208",1078,6046.2871520669
"209",1079,6068.47298710253
"210",1080,6881.25168094433
"211",1081,2527.16113992925
"212",1082,2142.49796595881
"213",1083,1925.90905355969
"214",1084,6368.71720622709
"215",1085,9862.32514641987
"216",1086,10194.4576267017
"217",1087,5912.34375059286
"218",1088,2317.74149273918
"219",1089,2245.60797001854
"220",1090,5957.65618000116
"221",1091,5969.19478903949
"222",1092,6284.35337057995
"223",1093,9822.50423223293
"224",1094,6036.08802314684
"225",1095,5894.08784694605
"226",1096,6051.32220347942
"227",1097,3044.04960947158
"228",1098,2280.22353683373
"229",1099,2324.19423951962
"230",1100,6123.08292627881
"231",1101,17753.3793996108
"232",1102,6045.39352242173
"233",1103,6318.8504831559
"234",1104,11702.3130821402
"235",1105,2280.60341231213
"236",1106,2278.08748762278
"237",1107,2303.87544662366
"238",1108,6261.07426071127
"239",1109,5963.27962157159
"240",1110,5940.3309429553
"241",1111,6306.80622638256
